时装豪礼,Hào Lễ Thời Trang
开启可选择3星红装：\n<color=#00ff00>惊梦服、惊梦冠、惊梦裤、惊梦腕、惊梦靴、惊梦伞、惊梦镰\n露华服、露华冠、露华裤、露华腕、露华靴、露华伞、露华镰\n秋兰服、秋兰冠、秋兰裤、秋兰腕、秋兰靴、秋兰伞、秋兰镰</color>\n其中一个,"Chọn 1 Trang Bị Đỏ 3 Sao: \n<color=#00ff00>Kinh Mộng Y, Kinh Mộng Khôi, Kinh Mộng Khố, Kinh Mộng Oản, Kinh Mộng Ngoa, Kinh Mộng Tán, Kinh Mộng Liêm\nLộ Hoa Y, Lộ Hoa Khôi, Lộ Hoa Khố, Lộ Hoa Oản, Lộ Hoa Ngoa, Lộ Hoa Tán, Lộ Hoa Liêm\nThu Lan Y, Thu Lan Khôi, Thu Lan Khố, Thu Lan Oản, Thu Lan Ngoa, Thu Lan Tán, Thu Lan Liêm</color>\n"
攻击时有概率对周围10个敌人造成大量伤害,Khi tấn công có tỉ lệ với 10 địch xung quanh gây sát thương lớn
提升主人900点防御,Tăng cho chủ nhân 900 Thủ
晉魂雪兒,Quốc Hòa
仙童随机礼包,Lễ Bao Tiên Đồng Ngẫu Nhiên
增加自身10%的防御，持续50秒,"Tăng cho mình 10% Thủ, liên tục 50s"
激活穿戴后可为神兽增加属性\n<color=#00c000>【属性加成】</color>\n战力+6000\n生命 +4000\n攻击 +200\n破甲 +100\n防御 +100\n\n<color=#00c000>附加特效</color>：激活后，本变身状态下伤害加深提升25%,"Mặc sau khi kích hoạt sẽ tăng thuộc tính Thần Thú\n<color=#00c000>【Thuộc tính】</color>\nChiến lực +6000\nHP +4000\nCông +200\nPhá giáp +100\nThủ +100\n\n<color=#00c000>Hiệu ứng thêm</color>: Sau khi kích hoạt, s.thg sâu tăng 25%"
受到暴击几率提高15%，持续3秒,"Tỉ lệ nhận bạo tăng 15%, liên tục 3s"
坐骑达到<color=#347B23FF>4阶1星</color>可领取,Tọa Kỵ đạt <color=#347B23FF>4 Giai 1 sao</color> nhận
玩家生命值低于20%时，受到PVP伤害减少15%，持续5秒，冷却60秒,"Khi điểm HP của người chơi dưới 20%, sát thương quái nhận vào giảm 15%, liên tục 5s, CD 60s"
單純,Ðinh Hương
凌波裤,Lăng Ba Khố
惊喜砸蛋充值豪礼,Hào Lễ Nạp Đập Trứng Vui Vẻ
上榜条件：消费6480元宝,Điều kiện: tiêu 6480 KNB
大圣3件套,Đại Thánh 3 món
闪避术,Né Thuật
受到伤害时触发，每秒额外增加5.2%减伤，最多增加到78%，持续15秒，冷却时间90秒,"Kích phát khi nhận sát thương, mỗi giây tăng thêm 5.2% giảm thương, tối đa tăng đến 78%, liên tục 15s, thời gian CD 90s"
精准减免,Giảm Miễn Tinh Chuẩn
对周围6个敌人造成1700%伤害，眩晕周围目标2秒，并降低敌人防御10%，持续10秒，冷却40秒,"Với 6 địch xung quanh gây 1700% sát thương. Choáng mục tiêu xung quanh 2s, và giảm của địch thủ 10%, liên tục 10s, CD 40s"
攻击时有5%几率降低对方4%命中，持续3秒，并额外增加500点攻击和500点破甲,"Khi tấn công có 5% tỉ lệ giảm Trúng của đối phương 4%, liên tục 3s, đồng thời tăng thêm 500 Công và 500 Phá giáp"
选择想要合成的<color=#0080FF>部位</color>,Chọn <color=#0080FF>vị trí muốn hợp thành</color>
龙吟腕,Long Ngâm Oản
使用后可激活与提升气泡-<color=#ff3b3b>落英缤纷</color>\n激活可加成：\n<color=#00ff00>战力+3500\n生命+2500\n攻击+125\n防御+100</color>\n\n分解后可获得<color=#00ff00>122</color>气泡精华，可提升气泡等级,"Kích hoạt và nâng cấp Khung Chat-<color=#ff3b3b>Hoa Rơi</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +3500\nHP +2500\nCông +125\nThủ +100</color>\n\nPhân giải nhận <color=#00ff00>122</color> Tinh Hoa Khung Chat, có thể thăng cấp Khung Chat"
初级攻击,Công-Sơ
赛季,Mùa giải
恭喜玩家<color=#00CCFF>【$1】</color>通过【荣耀直购】获得了<color=#f3f704>$2</color>，战力大幅度提升,"Chúc mừng <color=#00CCFF>【$1】</color> thông qua 【Gói Vinh Dự 】 nhận <color=#f3f704>$2</color>, chiến lực tăng mạnh"
每秒回复1000000生命，持续10秒,"Mỗi giây hồi 1000000 HP, liên tục 10s"
仙童被动天赋升级材料\n\n效果：<color=#49f912>加深仙童对灵气锻魄的领悟程度，提升被动加成效果。</color>\n\n每次升级效果：<color=#49f912>\n战力+750\n攻击+60\n附加伤害+15</color>,"Nguyên liệu thăng cấp Thiên Phú Bị Động Tiên Đồng\n\nHiệu quả: <color=#49f912>Tăng mức lĩnh ngộ của Tiên Đồng với Linh Khí Đoạn Phách, tăng hiệu quả bị động.</color>\n\nHiệu quả tăng mỗi cấp: <color=#49f912>\nChiến lực +750\nCông +60\nS.Thg thêm +15</color>"
对周围5个目标造成1460%伤害，并提升主人7%伤害加成，持续5秒，冷却40秒,"Với 5 mục tiêu xung quanh gây 1460% sát thương. Và tăng cho chủ nhân 7% sát thương, liên tục 5s, CD 40s"
10阶二星红饰品,10 Giai Đỏ Trang Sức 2 Sao
使用后可随机获得一件<color=#00ff00>9阶红色二星装备</color>，限<color=#00ff00>武器、发冠、上衣、护腕、下装、鞋履</color>六个部位。,"Nhận ngẫu nhiên 1 <color=#00ff00>9 Giai Đỏ Trang Bị 2 Sao</color>. Giới hạn 6 vị trí <color=#00ff00>Vũ Khí, Khôi, Y, Oản, Khố, Ngoa</color>"
提升主人18000点攻击360000点生命4500点暴击4500点坚韧,"Tăng cho chủ nhân 18000 Công, 360000 HP, 4500 điểm Bạo, 4500 điểm Kiên Nhận"
动作·膜拜,Động Tác·Tham Bái
两情相悦,Tình Đầu Ý Hợp
发出500个系统奖励的红包,Phát 500 Lì Xì Thưởng Hệ Thống
"1）战斗开始后,各阵营的玩家将共同进入洪荒战场进行对决,在战场中,可以<color=#0ab521>击杀非己方阵营的玩家、非己方阵营的守卫、护法</color>等获取积分；\n2）<color=#0ab521>击杀官员</color>可以获得更高的积分,<color=#0ab521>官位越高积分越多</color>,击杀<color=#0ab521>各阵营的护法</color>可获得大量积分； \n3）获得积分以尾刀计算,对目标造成<color=#0ab521>致命一击</color>的玩家可以获得积分,玩家获得积分的同时所在阵营增加同等积分值；\n4）各阵营的守卫、护法死亡后<color=#0ab521>隔一段时间会重新刷出</color>,注意留意复活信息；\n5）战场进行到<color=#0ab521>10分钟</color>时,在战场中央的祭坛中将刷出<color=#0ab521>洪荒巨兽</color>,击杀巨兽可以<color=#0ab521>获得海量积分</color>,一举奠定胜局；\n6）击杀阵营护法、洪荒巨兽后,击杀者全阵营的在场玩家都可以<color=#0ab521>获得增益效果</color>,可短暂提升全体的实力；\n7）祭坛附近每隔一段时间会<color=#0ab521>随机产出增益buff</color>,获得后可短暂提升个人实力；\n8）在活动倒计时结束之前,最先<color=#0ab521>获得10000分</color>的阵营将获得胜利,若无阵营达成,则以活动结束时的积分决定排名；\n9）活动结束后,参与活动的玩家可以获得<color=#0ab521>阵营排名奖励和个人排行奖励</color>；\n10）积分对照表：\n仙帝/魔神/人皇：<color=#0ab521>150积分</color>\n天王/魔尊/圣王：<color=#0ab521>100积分</color>\n仙后/魔后/皇后：<color=#0ab521>60积分</color>\n星君/魔帅/太师：<color=#0ab521>40积分</color>\n元辰/魔使/飞将：<color=#0ab521>30积分</color>\n普通成员：<color=#0ab521>20积分</color>\n普通守卫：<color=#0ab521>10积分</color>\n镇守护法：<color=#0ab521>600积分</color>\n洪荒巨兽：<color=#0ab521>2000积分</color>","1) Sau khi bắt đầu chiến đấu, người chơi các trận doanh cùng vào Hồng Hoang Chiến Trường để đối quyết, có thể <color=#0ab521>kích sát người chơi, thủ vệ, hộ pháp..v..v.. không phải trận doanh phe mình</color> nhận tích điểm; \n2) <color=#0ab521>Kích sát quan viên</color> được nhận tích điểm cao hơn, <color=#0ab521>chức quan càng cao tích điểm càng nhiều</color>, kích sát <color=#0ab521>hộ pháp các trận doanh</color> nhận nhiều tích điểm; \n3) Nhận tích điểm tính bởi đòn cuối,với mục tiêu người chơi gây ra <color=#0ab521>1 đòn chí mạng</color> được nhận tích điểm, người chơi nhận tích điểm đồng thời trận doanh phe mình cũng tăng tích điểm cùng mốc; \n4) Sau khi Thủ Vệ, Hộ Pháp các trận doanh tử vong <color=#0ab521>cách một thời gian sẽ làm mới hiện ra</color>, chú ý thông tin hồi sinh; \n5) Chiến trường tiến hành đến <color=#0ab521>10p<//color>h, Tế Đàn giữa chiến trường sẽ quét ra <color=#0ab521>Hồng Hoang Cự Thú</color>, kích sát Cự Thú <color=#0ab521>nhận rất nhiều tích điểm</color>, một đòn quyết thắng; \n6) Sau khi kích sát Hộ Pháp trận doanh, Hồng Hoang Cự Thú, người chơi tại trận toàn trận doanh của kích sát giả đều có thể <color=#0ab521> nhận hiệu quả buff</color>, tăng thực lực của toàn thể trong thời gian ngắn; \n7) Gần Tế Đàn cách 1 thời gian sẽ <color=#0ab521> sản sinh tăng lợi ích ngẫu nhiên</color>, sau khi nhận tăng thực lực cá nhân trong thời gian ngắn; \n8) Trước khi đếm ngược hoạt động kết thúc, trận doanh <color=#0ab521> nhận 10000 điểm</color> trước sẽ thắng lợi, nếu không có trận doanh đạt được, tích điểm khi hoạt động kết thúc sẽ quết định xếp hạng; \n9) Sau khi hoạt động kết thúc, người chơi tham gia hoạt động được nhận <color=#0ab521>thưởng xếp hạng trận doanh và thưởng xếp hạng cá nhân</color>; \n10) Danh sách đối chiếu tích điểm: \nTiên Đến/Ma Thần/Nhân Hoàng: <color=#0ab521>150 tích điểm</color>\nThiên Vương/Ma Tôn/Thánh Vương: <color=#0ab521>100 tích điểm</color>\nTiên Hậu/Ma Hậu/Hoàng Hậu: <color=#0ab521>60 tích điểm</color>\nTinh Quân/Ma Soái/Thái Sư: <color=#0ab521>40 tích điểm</color>\nNguyên Thần/Ma Sử/Phi Tướng: <color=#0ab521>30 tích điểm</color>\nThành viên thường: <color=#0ab521>20 tích điểm</color>\nThủ Vệ thường: <color=#0ab521>10 tích điểm</color>\nTrấn Thủ Hộ Pháp: <color=#0ab521>600 tích điểm</color>\nHồng Hoang Cự Thú: <color=#0ab521>2000 tích điểm</color>"
千里之行，始于足下，宝马养成，战力直升。,"Vạn dặm hành trình đều bắt đầu từ đôi chân. Luyện Bảo Mã, chiến lực phi thăng."
十三,13
VIP等级达到1级，永久传送无消耗,"Cấp VIP đạt cấp 1, vĩnh viễn dịch chuyển không tiêu hao"
<color=#ff3b3b>神格达到4星激活</color>,<color=#ff3b3b>Thần Cách đạt 4 sao kích hoạt</color>
1）成长基金共有3个挡可投资\n2）投资即可享受10倍超高额绑元返利,1) Quỹ Trưởng Thành tổng có 3 mốc đầu tư\n2) Đầu tư hưởng ngay phản lợi x10 KNB Khóa siêu cao
天衍灵魄,Thiên Diễn Linh Phách
小咸菜,Hương Tiên
鎏璃,Lưu Li
1.多件<color=#f3ac58>15阶橙色2星玉佩</color>可合成\n2.合成有概率失败，放入装备越多成功概率越高,"1. Nhiều <color=#f3ac58>15 Giai Cam Bội 2 Sao</color> có thể hợp thành\n2. Hợp thành có tỉ lệ thất bại. Trang bị đặt vào càng nhiều, tỉ lệ thành công càng cao"
对周围5个目标造成1360%伤害，额外恢复主人7%生命，冷却40秒,"Với 5 mục tiêu xung quanh gây 1360% sát thương. Hồi thêm cho chủ nhân 7% HP, CD 40s"
通关龙宫宝库-噩梦,Thông quan Long Cung Bảo Khố-Ác Mộng
優酷第七封,Minh Vũ
使用后可激活与提升神器-<color=#FFD700>灭世神器·月光宝盒</color>：\n最终可获得：\n<color=#00ff00>战力+10000000\n生命+5000000\n攻击+250000\n防御+250000\n破甲+250000</color>\n激活可加成：\n<color=#00ff00>战力+1000000\n生命+500000\n攻击+25000\n防御+25000\n破甲+25000</color>\n激活可提升<color=#FFD700>100万</color>战力，通过提高<color=#FFD700>境界</color>持续提升战力，最终可获得<color=#FFD700>1000万</color>战力\n激活<color=#00ff00>神石</color>可提升<color=#00ff00>海量属性</color>与加强<color=#00ff00>技能效果</color>\n神器激活后可获得<color=#FFD700>灭世技能</color>：\n每次受到攻击时，都有2%的概率触发光环效果：“使500米内的所有友方玩家免疫50%伤害，造成的伤害提高150%“，持续10秒，30分钟内只能触发一次。\n\n<color=#afafaf >只需要对着月光打开宝盒，大喊“般若波罗蜜”，就能时光倒流，回到未来</color>,"Kích hoạt và nâng cấp Thần Khí-<color=#FFD700>Diệt Thế Thần Khí·Nguyệt Quang Hộp</color>: \nCuối cùng nhận:\n<color=#00ff00>Chiến lực +10000000\nHP +5000000\nCông +250000\nThủ +250000\nPhá giáp +250000</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +1000000\nHP +500000\nCông +25000\nThủ +25000\nPhá giáp +25000</color>\nTăng <color=#FFD700>100 Vạn</color> Chiến Lực, nâng <color=#FFD700>Cảnh Giới</color> để liên tiếp tăng chiến lực, cuối cùng nhận <color=#FFD700>1000 Vạn</color> Chiến Lực\nKích hoạt <color=#00ff00>Thần Thạch</color> sẽ nâng <color=#00ff00>thuộc tính</color> và tăng <color=#00ff00>hiệu quả kỹ năng</color>\nSau khi kích hoạt nhận <color=#FFD700>kỹ năng Diệt Thế</color>: \nMỗi lần bị tấn công, có 2% tỉ lệ kích phát hiệu quả Quang Hoàn: “Khiến toàn bộ đồng đội trong vòng 500m miễn dịch 50% sát thương. Sát thương gây ra tăng 150%“, liên tiếp 10s, 30ph chỉ kích phát 1 lần. \n\n<color=#afafaf > </color>"
境界达到练气，领取$2战力,"Cảnh Giới đạt Luyện Khí, nhận $2 Lực Chiến"
"提升神兵基础属性12%,额外附加人物6000点暴击值","Thuộc tính cơ bản Thần Binh tăng 12%, tăng thêm 6000 điểm Bạo Kích nhân vật"
小年狂欢,23 Tháng Chạp Vui Vẻ
提升主人破甲450点,Tăng cho chủ nhân Phá giáp 450 điểm
商城获得,Nhận tại Tiệm
升级灵宠<color=#00ff00>爆魂</color>技能书。\n<color=#00ff00>一级效果：</color>灵宠攻击时，有10%几率增加自身6%的暴击，持续5秒，冷却10秒\n<color=#00ff00>满级效果：</color>灵宠攻击时，有10%几率增加自身15%的暴击，持续5秒，冷却10秒,"Thăng cấp Linh Sủng Kỹ Năng Thư <color=#00ff00>Bạo Hồn</color>. \n<color=#00ff00>Hiệu quả cấp 1: </color>Khi Linh Sủng tấn công, có 10% tỉ lệ tăng cho mình 6% bạo, liên tiếp 5s, CD 10s\n<color=#00ff00>Hiệu quả Max cấp: </color>Khi Linh Sủng tấn công, có 10% tỉ lệ tăng cho mình 15% bạo, liên tiếp 5s, CD 10s"
轩辕圣君,Hiên Viên Thánh Quân
<color=#ff0000>未击杀</color>,<color=#ff0000> Chưa kích sát </color>
神龙圣印 62级,Thần Long Thánh Ấn Cấp 62
表情基础属性,Thuộc tính cơ bản Avatar
boss首杀红包,Lì Xì BOSS Kích Sát Đầu
盛夏橘金翼,Thịnh Hạ Quất Kim Dực
价值188800,Giá trị 188800
幽泉寒玉玺,U Tuyền Hàn Ngọc Tỉ
與世無爭,Không Tranh Với Đời
成功加入黑名单,Cho vào danh sách đen thành công
"{17003,""神\n机\n灵\n刺\n·\n5\n星""}","{17003,""Thần\nCơ\nLinh\nThứ\n·\n5\nSao""}"
生命+16260\n攻击+820\n防御+400\n破甲+400,HP +16260\nCông +820\nThủ +400\nPhá giáp +400
弓虽联盟,Bảo Long
送你一朵花,Tặng hoa
"{""锁妖塔随机掉落符咒"",""挑战高层可解锁新符咒"",""通关层数越高每天奖励越好"",""符咒可大幅度提升战力""}","{""Tỏa Yêu Tháp ngẫu nhiên rơi Phù Chú"",""Khiêu chiến tầng cao sẽ mở khóa Phù Chú mới"",""Số tầng thông quan càng cao, thưởng càng tốt"",""Phù Chú có thể tăng rất nhiều chiến lực""}"
使用后可激活图鉴<color=#00ff00>\n战力+15000\n生命+10000\n攻击+500\n防御+250\n破甲+250\n</color>\n同时集齐<color=#d77500>【蓬莱·琪花瑶草】，【蓬莱·天台路崎】，【蓬莱·仙山楼阁】，【蓬莱·寰海镜清】，【蓬莱·祥云掩拥】，【蓬莱·琼花玉树】</color>可在<color=#00ff00>【绝世图鉴】</color>中激活绝世套装效果,"Kích hoạt Đồ Giám <color=#00ff00>\nChiến lực +15000\nHP +10000\nCông +500\nThủ +250\nPhá giáp +250\n</color>\nĐủ <color=#d77500>【Bồng Lai·Kỳ Hoa Dao Thảo】, 【Bồng Lai·Thiên Đài Lộ Kỳ】, 【Bồng Lai·Tiên Sơn Lâu Các】, 【Bồng Lai·Hoàn Hải Kính Thanh】, 【Bồng Lai·Tường Vân Yểm Ủng】, 【Bồng Lai·Quỳnh Hoa Ngọc Thụ】</color> có thể đến <color=#00ff00>【Tuyệt Thế Đồ Giám】</color> kích hoạt hiệu quả bộ Tuyệt Thế"
提升主人11340点攻击，5460点破甲,"Tăng cho chủ nhân 11340 Công, 5460 Phá giáp"
[Lv.350]完成四转,[Lv.350]Hoàn thành 4 chuyển
材料不足，无法强化,"Nguyên liệu không đủ, không thể cường hóa"
神龙圣印 134级,Thần Long Thánh Ấn Cấp 134
孤,Bảo Uyên
奖池未填满，请先选择奖励,"Hồ Thưởng chưa làm đầy, hãy chọn thưởng"
烟花抽奖<color=#$1>$2</color><color=#347b23>/50</color>次可领取奖励,Pháo hoa rút thưởng <color=#$1>$2</color><color=#347b23>/50</color> lượt nhận thưởng
紫墨华影,Tử Mặc Hoa Ảnh
次数已达上限,Số lượt đã đạt giới hạn
玉林项链·神,Ngọc Lâm Liên·Thần
提升主人88000点生命,Tăng cho chủ nhân 88000 HP
震惊！<color=#00D5FFFF>[$1]</color>盟的盟主<color=#FF00F8FF>$2</color>在<color=#00D5FFFF>$3</color>惨遭<color=#00FF4CFF>[$4]</color><color=#f3ac58>$5</color>毒手，让人唏嘘！,Kinh ngạc! <color=#00D5FFFF>[$1]</color> có Minh Chủ <color=#FF00F8FF>$2</color> tại <color=#00D5FFFF>$3</color> bị <color=#00FF4CFF>[$4]</color><color=#f3ac58>$5</color> hạ độc thủ!
1.多件<color=#ff3b3b>6阶红色2星项链</color>可合成\n2.合成有概率失败，放入装备越多成功概率越高,"1. Nhiều trang bị <color=#ff3b3b>6 Giai Đỏ Liên 2 Sao</color> có thể hợp thành\n2. Hợp thành có tỉ lệ thất bại. Trang bị đặt vào càng nhiều, tỉ lệ thành công càng cao"
女侠榜第二名可得,Top 2 BXH Nữ Hiệp nhận
神龙圣印 206级,Thần Long Thánh Ấn Cấp 206
"使用后获得称号<color=#29c229>""$1""</color>\n\n激活可获得属性：\n<color=#fa9c19>战力 +$2</color>\n<color=#29c229>$3</color>\n\n累积获得1亿铜钱","Nhận Danh Hiệu <color=#29c229>""$1""</color>\n\nThuộc tính: \n<color=#fa9c19>Chiến lực +$2</color>\n<color=#29c229>$3</color>\n\nTích lũy nhận 1 ức bạc"
用来合成梨花针，合成后可以用来启动、升星对应的法宝外形\n战力：22000+\n生命：24000\n破甲：600\n防御：400\n攻击：1%\n\n启动后可使用新法宝外形，且玩家攻击属性越高，启动和升星增加的战力越高,"Dùng hợp thành Lê Hoa Châm, sau khi hợp thành có thể dùng để khởi động, thăng sao ngoại hình Pháp Bảo tương ứng\nChiến lực: 22000+\nHP: 24000\nPhá giáp: 600\nThủ: 400\nCông: 1%\n\nSau khi khởi động có thể dùng ngoại hình Pháp Bảo, và thuộc tính công người chơi càng cao, khởi động và thăng sao chiến lực tăng càng cao"
难舍难分,Không Thể Tách Rời
使用后可激活与提升<color=#ff3b3b>黄金圣龙</color>\n激活可加成：\n<color=#00ff00>战力+210000\n生命+100000\n攻击+7000\n暴击+5000\n韧性+5000</color><color=#FF0000>\n攻击加成+1%</color>,Kích hoạt và nâng cấp <color=#ff3b3b>Hoàng Kim Thánh Long</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +210000\nHP +100000\nCông +7000\nBạo +5000\nDẻo +5000</color><color=#FF0000>\nCông +1%</color>
材料不足,Nguyên liệu không đủ
随机获得<color=#FF0000>4阶橙色二星装备</color>,Nhận ngẫu nhiên color=#FF0000>4 Giai Cam Trang Bị 2 Sao</color>
束缚咒,Thúc Phược Chú
对周围5个目标造成1070%伤害，并降低敌人30%移动速度，持续5秒，冷却40秒,"Với 5 mục tiêu xung quanh gây 1070% sát thương. Và giảm của địch 30% tốc độ di chuyển, liên tục 5s, CD 40s"
统领禁卫,Thống Lĩnh Cấm Vệ
<color=#DB0DA8>【$1】</color>在【$2】获得了<color=#FFD306>【$3】</color>X$4,<color=#DB0DA8>【$1】</color> tại 【$2】 nhận <color=#FFD306>【$3】</color>X$4
完成150个仙盟任务,Hoàn thành 150 Nhiệm Vụ Tiên Minh
提升主人1890点攻击，910点破甲,"Tăng cho chủ nhân 1890 Công, 910 Phá giáp"
命中+300,Trúng+300
受到目标攻击时，有5%几率反击目标，造成52.5%的伤害,"Khi bị mục tiêu tấn công, có 5% tỉ lệ phản kích mục tiêu, gây ra sát thương bằng 52.5%"
男十五阶三星红装,15 Giai Đỏ Trang Bị 3 Sao (Nam)
攻击时<color=#C4401CFF>100%</color>触发破甲光环，玩家与9米范围内队友<color=#C4401CFF>增加10%的破甲</color>，持续<color=#C4401CFF>10秒</color>，冷却时间<color=#C4401CFF>600秒</color>,"Khi tấn công <color=#C4401CFF>100%</color>kích phát Quang Hoàn Phá giáp, người chơi và đồng đội trong phạm vi 9 mét <color=#C4401CFF> tăng 10% Phá giáp</color>, liên tục <color=#C4401CFF>10s</color>, thời gian CD <color=#C4401CFF>600s</color>"
金葫融合Lv.2,Kim Hồ Dung Hợp Lv.2
攻击时有10%几率触发狂战效果，人物攻击增加15%，持续5秒，冷却时间15秒,"Khi tấn công có 10% tỉ lệ kích phát hiệu quả Cuồng Chiến, công của nhân vật tăng 15%, liên tục 5s, thời gian CD 15s"
提升人物强化属性100%,Thuộc tính cường hóa nhân vật tăng 100%
神龙圣印 529级,Thần Long Thánh Ấn Cấp 529
沧海月明珠有泪，据说鲛人一族的眼泪落入海中即化为珍珠，这个传说到现在还在这一片流传着，不知是真是假。,"Nghe nói nước mắt của giao nhân rơi xuống biển hóa thành trân châu, chẳng biết có thật không."
购买10万铜钱50次,Mua 10 Vạn Bạc 50 lượt
使用后可激活祈福灯会礼包-98元档位,Kích hoạt Gói Hoa Đăng Cầu Phúc-Mốc 98 Tệ
使用后可激活与提升<color=#29c229>$1</color>\n\n激活可加成：\n<color=#fa9c19>战力 +$2</color><color=#29c229>\n$3</color><color=#ebd917>\n$4</color>,Kích hoạt và nâng cấp <color=#29c229>$1</color>\n\nThuộc tính: \n<color=#fa9c19>Chiến lực +$2</color><color=#29c229>\n$3</color><color=#ebd917>\n$4</color>
刘师兄先前照顾爷爷起居，据说爷爷失踪之时，房中有打斗的痕迹。大伙搜查了太白山四周，却没发现太多的蛛丝马迹。,"Lưu sư huynh nghe nói lúc ông mất tích, trong phòng có dấu vết đánh lộn."
使用后可激活与提升头像框-<color=#ff3b3b>吉祥如意</color>\n激活可加成：\n<color=#00ff00>战力+4500\n生命+3000\n攻击+150\n防御+150</color>\n\n分解后可获得<color=#00ff00>157</color>头像框精华，可提升头像框等级,"Kích hoạt và nâng cấp Khung Avatar-<color=#ff3b3b>Như Ý Cát Tường</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +4500\nHP +3000\nCông +150\nThủ +150</color>\n\nPhân giải nhận <color=#00ff00>157</color> Tinh Hoa Khung Avatar, có thể thăng cấp Khung Avatar"
获得4个紫色品质以上的符咒,Nhận 4 Phù Chú phẩm Tím trở lên
装备七曜龙晶后加成：\n<color=#00ff00>附加伤害+940\n命中加成+3%</color>\n\n可镶嵌在<color=#00ff00>武器、饰品</color>上，也可以合成更高级的七曜龙晶,"Thuộc tính sau khi trang bị Thất Diệu Long Tinh: \n<color=#00ff00>S.Thg thêm +940\nTăng Trúng +3%</color>\n\nKhảm lên <color=#00ff00>Vũ Khí, Trang Sức</color>, cũng có thể hợp thành Thất Diệu Long Tinh cao cấp hơn."
七星军盾,Thất Tinh Thuẫn
激活或提升神兵外形<color=#00ff00>神兵·归一</color>\n战力提升:<color=#00ff00>30000+</color>\n攻击提升:<color=#00ff00>750</color>\n破甲提升:<color=#00ff00>750</color>\n暴击提升:<color=#00ff00>1500</color>\n暴击几率:<color=#00ff00>1.0%</color>\n\n激活后可使用新神兵外形并且获得珍稀属性<color=#00ff00>暴击几率</color>,Kích hoạt hoặc tăng Ngoại Quan Thần Binh <color=#00ff00>Thần Binh·Quy Nhất</color>\nLực Chiến tăng:<color=#00ff00>30000+</color>\nCông tăng:<color=#00ff00>750</color>\nPhá giáp tăng :<color=#00ff00>750</color>\nBạo tăng :<color=#00ff00>1500</color>\nBạo Kích:<color=#00ff00>1.0%</color>\n\nSau khi kích hoạt có thể dùng Ngoại Quan Thần Binh mới và nhận thuộc tính <color=#00ff00>Bạo Kích</color>
凡夫俗子,Phàm Phu Tục Tử
花灯豪华大礼包,Đại Lễ Bao Hào Hoa Hoa Đăng
远古守卫-震,Viễn Cổ Thủ Vệ-Chấn
称号·微微凉风,Danh Hiệu·Vy Vy Lương Phong
对目标造成伤害+100%,Sát thương với mục tiêu+100%
爆发混沌元素空间，使目标受到伤害增加19%，持续3秒，冷却时间60秒,"Bạo phát không gian nguyên tố hỗn độn, khiến sát thương mục tiêu nhận vào tăng 19%, liên tục 3s, thời gian CD 60s"
战斗状态,Trạng thái chiến đấu
千古罕见一折礼包，仅开服可获得，终生一次不可错过！\n花费1000元宝可得：\n<color=#00ff00>道果进阶丹*600\n人品道果丹*1\n地品道果丹*1</color>,Lễ Bao hiếm!\nTiêu 1000 KNB nhận: \n<color=#00ff00>Đạo Quả Tiến Giới Đan*600\nNhân Phẩm Đạo Quả Đan*1\nĐịa Phẩm Đạo Quả Đan*1</color>
暴伤减免 Lv.1,Miễn Giảm Bạo Thương Lv.1
和氏璧·高潮,Hòa Thị Bích·Cao Trào
