我国在皇城战役中守护失败，守护时间为{wordsColor;ff6000;%d}分钟，特此发放以下奖励！,"Quốc gia ta bảo vệ thất bại trong Chiến Dịch Hoàng Thành, thời gian bảo vệ là {wordsColor;ff6000;%d} phút, phát thưởng sau!"
进阶获取,Tiến giai thu hoạch
「梦里不知身是客，一晌贪欢。」,"「Trong giấc mộng không biết mình là khách, ham vui nhất thời!」"
因为狗游得快,Bởi vì chó biết bơi
把装备升级到,Nâng cấp trang bị lên
<color=#ec0228>四象抽召唤符</color>*5\n<color=#ec0228>四象突破自选</color>*2\n<color=#ec0228>1000魂灵经验</color>*1\n<color=#ff6000>魂装强化石</color>*5,<color=#ec0228>Phù Triệu Hồi Rút Tứ Tượng</color>*5\n<color=#ec0228>Đột Phá Tứ Tượng Tự Chọn</color>*2\n<color=#ec0228>1000 Exp Hồn Linh</color>*1\n<color=#ff6000>Đá Cường Hóa Hồn Trang</color>*5
释放技能后有5%几率召唤一只自身属性35%小怪（最多3只）,Sau khi phóng kỹ năng có 5% triệu hồi 1 quái bằng 35% thuộc tính của bản thân (tối đa 3 quái)
吉时已到\n你的伴侣：<color=#FFF47CFF>大熊大熊大熊</color>\n希望现在开始拜堂，是否同意,"Giờ lành đã điểm\nBạn đời của bạn: <color=#FFF47CFF>Đại Hùng Đại Hùng Đại Hùng</color>\nhy vọng bái đường ngay bây giờ, đồng ý"
小萱,Tiểu Huyên
八个组八个八个字：,8 chữ: 
始皇玄盔,Thủy Hoàng Huyền Khôi
<color='#95d12b'>难度越高</color>奖励越丰厚,<color='#95d12b'>Độ khó càng cao</color> thưởng càng lớn
合服庆典-狩魔猎人,Ghép SV Khánh Điển - Thợ Săn Boss
一转叁篇碎片-庚,Mảnh chuyển 1 trang 3 - VI
"  m_Text: ""一节","m_Text: ""1 chương"
芳-落英缤纷,Phương-Lạc Anh Tân Phân
不可攻击%s,Không thể công%s
星辰召唤,Triệu Hồi Tinh Tú
释放技能后造成目标灼烧状态，每秒掉血2000，持续3秒,"Sau khi phóng kỹ năng sẽ thiêu đốt mục tiêu, mỗi giây rớt máu 2000, trong 3 giây"
「醉卧美人膝，醒掌天下权。」,"""Nằm ngủ trên gối mỹ nhân, tỉnh nắm quyền thiên hạ."""
莺歌蝶舞,Oanh Ca Điệp Vũ
释放北极摇滚时，触发冰冻的概率额外提升<color='#35ab6c'>26%</color>,"Khi sử dụng Bắc Cực Dao Cổn, xác suất kích hoạt đóng băng tăng thêm <color='#35ab6c'>26%</color>"
"坐骑进阶到一定阶数,会改变其外观,对还是错?","Tọa kỵ tăng bậc đến nhất định cấp số, sẽ cải biến bề ngoài xem, đúng hay là sai?"
正在创建一方世界……,Đang tạo một thế giới……
通关天神塔第200层,Vượt Thiên Thần Tháp tầng 200
星辰孔位已全部卸下,Đã tháo toàn bộ vị trí Tinh thần
夜色迷人,Dạ Sắc Mê Nhân
夜色迷人,Dạ Sắc Mê Nhân
提高<color='#007f18'>剑灵·稀有</color>属性<color='#007f18'>345%</color>。\n<color='#8a8c8e'>毒可伤人，亦可救人。</color>,"Tăng thuộc tính cơ bản <color='#007f18'>Kiếm Linh - hiếm</color> <color='#007f18'>345%</color>.\n<color='#8a8c8e'> Độc giết người, cũng có thể cứu người</color>"
万魔毒蛇,Vạn Ma Độc Xà
点击自定义文案,Nhấn để tùy chỉnh văn bản
仙品属性(随机生成%s条仙品属性),Tiên phẩm thuộc tính ( Ngẫu nhiên tạo ra %s dòng Tiên phẩm thuộc tính )
7阶红3星饰品自选,Trang Sức Đỏ bậc 7 3 Sao Tự Chọn
每日可领%s,Mỗi ngày nhận %s
<color='#ebff7c'>高山流水：</color>\n沉默<color='#ebff7c'>2秒</color>,<color='#ebff7c'>Cao Sơn Lưu Thủy: </color>\nTrầm mặc <color='#ebff7c'>2 giây </color>
强力魂环,Hồn Hoàn mạnh mẽ
修罗试炼第2名,Tu La Thí Luyện Top 2
可在合成系统中用于<color='#95d12b'>仙镯升阶</color>\n仙镯升阶常用到的普通<color='#c26af5'>灵火</color>,Trong hệ thống hợp thành dùng để <color='#95d12b'>tăng bậc Tiên Trạc</color>\n<color='#c26af5'>Linh Hỏa</color> thường tăng bậc Tiên Trạc
南栋,Nam Đống
引走好色的严首领，救出阿朱。,"Dụ thủ lĩnh háo sắc đi, cứu A Chu ra"
武陵仙君向前方挥动羽扇召唤土系八卦阵，阵内敌人每秒受到<color='#95d12b'>240%</color>土属性伤害，持续<color='#95d12b'>3秒</color>,"Gia Cát Lượng vẫy quạt về phía trước triệu hồi Trận Bát Quái hệ Thổ, địch trong trận mỗi giây chịu <color='#95d12b'>240%</color> sát thương Thổ, trong <color='#95d12b'>3s</color>"
<color='#f93dea'>九霄羲和</color>魔化等级达到<color='#007f18'>2级</color>,<color='#f93dea'>Cửu Tiêu Hi Hòa</color> Ma Hóa đạt <color='#007f18'>Lv2</color>
一肝到底（四）,Gan Cùng Mình ( Bốn )
太昊白金盔,Thái Hạo Bạch Kim Khôi
<color='#f93dea'>二郎真君</color>品阶达到<color='#007f18'>20阶</color>,<color='#f93dea'> Nhị Lang Chân Quân </color>đạt <color='#007f18'>20 bậc</color>
5星10阶粉色裤子,Khố Hồng bậc 10 5 Sao
特殊处理,Xử lý đặc biệt
第554关,Ải 554
用于<color='#95d12b'>东皇太一</color>入魔\n<color='#ffb400'>天神入魔之后可以改变外形，并大幅度提升天神属性</color>,"Dùng cho <color='#95d12b'>Đông Hoàng Thái 1</color>Nhập Ma\n<color='#ffb400'>Thiên Thần Nhập Ma sau đó có thể đổi ngoại hình, và tăng cao thuộc tính Thiên Thần</color>"
当前鼓舞buff：,Buff cổ vũ hiện tại: 
轮回·五重,Luân Hồi·Ngũ Trọng
参与仙盟争霸14次(<per>1/20</per>),Tham gia Tiên Minh Tranh Bá 14 Lần (<per>1/20</per>)
(剩余天数:x),(Số ngày còn lại: x)
<color=#f556e8>幻彩幽莲</color>*1\n<color=#f556e8>星光璀璨-足</color>*1\n<color=#f556e8>飞雪迷离-光</color>*1,<color=#f556e8>Huyễn Thải U Liên</color>*1\n<color=#f556e8>Tinh Quang Thôi Xán-Túc</color>*1\n<color=#f556e8>Phi Tuyết Mê Li-Quang</color>*1
修真路（六）,Tu Chân Lộ ( Sáu )
准 备,Chuẩn bị
"提升防御<color='#01AB26FF'>5700</color>,生命<color='#01AB26FF'>114000</color>","Tăng <color='#01AB26FF'>5700</color> Thủ, <color='#01AB26FF'>114000</color> HP"
剧毒,Kịch độc
杀，杀，都给我死。,"Giết, giết, chết hết cho ta."
活动期间，增强战力，全服前四的仙盟中<color='#95d12b'>战力排名</color>靠前的玩家即可领取对应<color='#95d12b'>限时称号</color>奖励，在活动期间即可获得<color='#95d12b'>战力加成</color>和<color='#95d12b'>掉率加成</color>，快来试试看吧~,"Trong thời gian hoạt động, tăng cường chiến lực, người chơi có chiến lực cao nhất trong <color='#95d12b'> 4 tiên minh đứng đầu </color>toàn server có thể nhận  <color='#95d12b'> danh hiệu tạm thời </color>, trong thời gian hoạt động sẽ nhận được <color='#95d12b'> buff chiến lực </color> và <color='#95d12b'> tăng tỉ lệ rơi đồ </color>, hãy mau tới trải nghiệm ~"
四转圣装1武器,4 chuyển Thánh Trang 1 Vũ Khí
幻-上品-无敌,Huyễn-Thượng Phẩm-Vô Địch
28000元宝,28000 KNB
虔诚的拜佛者,Người thành kính bái phật
砂锅汤面,Súp mì rau
变身<color='#ffb400'>发条地精</color>时获得洪荒之力，造成伤害增加<color='#95d12b'>26%</color>,"Khi biến thân thành <color='#ffb400'>Phát Điều Địa Tinh</color> nhận được Hồng Hoang Lực, sát thương gây ra tăng <color='#95d12b'>26%</color>"
受到玩家攻击时，给自身附加一个<color='#95d12b'>伤害免疫护盾</color>，减少<color='#95d12b'>11.96%</color>来自玩家的伤害，持续<color='#95d12b'>2</color>秒，在此期间收到伤害，有<color='#95d12b'>13.85%</color>的概率免疫控制状态，持续<color='#95d12b'>3秒</color>。,"Công kích người chơi giúp bản thân tạo ra <color='#95d12b'>hộ thuẫn miễn sát thương</color>, giảm bớt <color='#95d12b'>11.96%</color> thương tổn trong <color='#95d12b'>2</color> Giây, tại trong lúc này thu được tổn thương, có <color='#95d12b'>13.85%</color> tỷ lệ miễn dịch khống chế trong <color='#95d12b'>3 giây </color>."
通关天神塔第540层,Vượt Thiên Thần Tháp tầng 540
造成每秒<color='#95d12b'>28%</color><color='#95d12b'>中毒</color>伤害，持续<color='#95d12b'>3秒</color>,"Mỗi giây tạo ra<color='#95d12b'>28%</color><color='#95d12b'>Trúng Độc</color>sát thương, liên tiếp<color='#95d12b'>3 giây</color>"
西毒·寅,Tây Độc - Dần
护送<per>0/3</per> 次,Hộ tống <per>0/3</per> lần
满满的百宝袋,Túi ngọc đầy ắp
白银单日礼包-伍,Quà Ngày Bạc-5
全服财富值达到%s以后，将开启持续4小时的全服双倍掉落活动，挑战副本可获得双倍掉落奖励。\n双倍掉落：宠物谷、聚宝阁、六道轮回、神殿废墟,"Toàn bộ server tài phú giá trị đạt tới %s Về sau, sắp mở ra tiếp tục 4 Giờ toàn bộ server gấp đôi rơi xuống hoạt động, khiêu chiến phó bản có thể đạt được gấp đôi rơi xuống ban thưởng.\n Gấp đôi rơi xuống: Sủng vật cốc, tụ bảo các, Lục Đạo Luân Hồi, thần điện phế tích"
概率获得3星9阶衣服,Xác suất nhận Y Phục 3 sao bậc 9
告诉段誉这个好消息。,Báo tin tốt này cho Đoàn Dự
概率获得<color='#b759fa'>四象之灵</color>\n概率获得<color='#b759fa'>四象突破药水</color>\n概率获得<color='#b817fa'>变身卡</color>,Có thể nhận <color='#b759fa'>Hồn Tứ Tượng</color>\nCó thể nhận <color='#b759fa'>Thuốc Đột Phá Tứ Tượng</color>\nCó thể nhận <color='#b817fa'>Thẻ Biến Thân</color>
使主目标<color='#ec0228'>流血</color>每秒损失<color='#95d12b'>1%</color>最大生命值，持续<color='#95d12b'>3秒</color>,"Làm mục tiêu chính <color='#ec0228'>mất máu</color> mỗi giây mất <color='#95d12b'>1%</color> HP cao nhất , liên tiếp <color='#95d12b'>3 giây</color>"
亲爱的仙友，由于您未领取城池币奖励，由邮件发送！,"Tiên hữu thân mến, do bạn chưa nhận thưởng Xu Thành Trì, thưởng sẽ được gửi qua thư!"
帮李大娘整理蔬菜,Giúp Lý Đại Nương sắp xếp rau củ
涵柏,Hàm Bách
"1.开服<color=#95d12b>第8~11日</color>，开启<color=#95d12b>天神降临</color>活动\n2.活动期间，每日<color=#95d12b>18:00</color>，在<color=#95d12b>镜像炎皇城(343,66)</color>刷新天神魔王<color=#95d12b>开天盘古</color>，此时全体玩家可前往参与试炼\n3.每次参与试炼，对天神造成伤害，即可获得<color=#95d12b>参与奖励</color>，奖励通过<color=#95d12b>邮件</color>发放\n4.每次参与试炼，在天神死亡时，他身旁会出现<color=#95d12b>掉落奖励</color>！","1.Sau khi mở server từ <color=#95d12b>ngày 8~11</color>, mở HĐ<color=#95d12b>Thiên Thần Giáng Lâm</color>\n2.Trong thời gian HĐ, <color=#95d12b>18:00</color> hang ngày, tại <color=#95d12b>Kính Tượng Viêm Hoàng Thành(343,66)</color> làm mới Thiên Thần Boss <color=#95d12b>Khai Thiên Bàn Cổ</color>, khi ấy toàn thể người chơi có thể tham gia thí luyện\n3.Mỗi lần tham gia thí luyện, sẽ gây ST cho thiên thần, đồng thời nhận được <color=#95d12b>Thưởng tham gia</color>, thưởng sẽ được gửi qua <color=#95d12b>Thư</color>\n4.Mỗi lần tham gia thí luyện, khi Thiên Thần chết, bên cạnh hắn sẽ xuất hiện <color=#95d12b>thưởng rơi ra</color>！"
<color=#007f18FF>%s</color>秒后\n挑战失败,<color=#007f18FF>%s</color> giây sau\nKhiêu chiến thất bại
1510四象找回绑玉,1510 Tứ Tượng Tìm Lại Ngọc Khóa
收获：%s,Thu hoạch: %s
你刚一转身，台上人的流星锤失手飞出，直接砸中你的后脑勺，你登时断气。\n<color='#ff0000'>剧情走向不如意，请重新开始吧~</color>,"Ngươi vừa quay lưng lại, bất ngờ có một chiếc Lưu Tinh Chùy từ bay ra, đập trúng sau gáy, ngươi tắc thở. \n<color='#ff0000'> Kịch bản không như ý, hãy bắt đầu lại từ đầu ~</color>"
这你都答不对，吃我一击！,"Ngươi đáp sai, nhận 1 đòn!"
在结义仪式中举办豪华酒宴啦...,Tại nghi thức kết nghĩa tổ chức tiệc rượu xa hoa..
1040四象找回绑玉,1040 Tứ Tượng Tìm Lại Ngọc Khóa
公示时间内无法进行竞拍,Trong thời gian công bố không thể đấu giá
1620四象找回绑玉,1620 Tứ Tượng Tìm Lại Ngọc Khóa
【下级效果】 %s阶生效,【hiệu quả cấp sau】 %s giai có hiệu lực
齐天大圣？,Tề Thiên Đại Thánh
恭喜触发随机事件<color='#95d12b'>宗门送礼</color>，获得,"Mừng mở ngẫu nhiên sự kiện<color='#95d12b'> Tông môn tặng lễ </color>, thu hoạch được"
收集<color='#95d12b'>150</color>个碎片即可激活<color='#95d12b'>乔峰</color>,Thu thập <color='#95d12b'>150</color> để kích hoạt <color='#95d12b'>Kiều Phong </color>
功法残页-极,Công pháp Tàn Diệp-Cực
激活冥姬娑罗后获得远古祝福，生命加成增加<color='#007f18'>0.4%</color>。每参与击杀1只首领，增加<color='#007f18'>0.01%</color>生命，单日上限为<color='#007f18'>0.1%</color>，终生上限为<color='#007f18'>1.4%</color>,"Kích hoạt Minh Cơ Sa La nhận chúc phúc cổ, HP thêm tăng <color='#007f18'>0.4%</color>. Mỗi khi tham gia hạ 1 thủ lĩnh, tăng <color='#007f18'>0.01%</color>HP, giới hạn một ngày là <color='#007f18'>0.1%</color>, giới hạn vĩnh viễn là <color='#007f18'>1.4%</color>"
<color='#453550FF'>【%s】</color><color='#453550FF'>给了你一个大大的熊抱！</color>,<color='#453550FF'>【%s】</color><color='#453550FF'> Tặng bạn một cái ôm thật ấm áp !</color>
1930四象找回绑玉,1930 Tứ Tượng Tìm Lại Ngọc Khóa
对主目标造成致盲效果，黑屏且无法打出伤害，持续<color=#95d12b>1.5秒</color>,"Tạo hiệu quả Mù Lòa cho mục tiêu chính, màn hình đen và không thể tạo sát thương, trong <color=#95d12b>1.5s</color>"
我国最早的诗歌总集是：,Nước ta sớm nhất thơ ca tổng tập là:
召唤紫焰双狼，对前方持续喷出火焰，每秒造成<color='#95d12b'>100%</color>技能伤害，攻击剩余生命大于<color='#95d12b'>50%</color>的敌人时造成额外<color='#95d12b'>40%</color>的伤害，并扣除<color='#95d12b'>3%</color>的最大生命值。,"Triệu hồi Tử Diệm Song Lang, duy trì phun lửa về phía trước, mỗi giây tạo <color='#95d12b'>100%</color> kỹ thương, khi công địch có HP lớn hơn <color='#95d12b'>50%</color> sẽ tạo thêm <color='#95d12b'>40%</color> sát thương, và trừ <color='#95d12b'>3%</color> HP tối đa."
·释放技能有<color=#95D12B>100%</color>概率眩晕<color=#95D12B>3.75秒</color>,·Khi thi triển kĩ năng có xác suất <color=#95D12B>100%</color> gây choáng <color=#95D12B>3.75 giây</color>
神树守卫,Thần Thụ Thủ Vệ
兽魂寻宝礼包,Quà Tầm Bảo Thú Hồn
可在继承中为魂环注入魂灵<color='#95d12b'>“金-上品-吸血”</color>,Có thể trong kế thừa nhập Hồn Linh vào Hồn Hoàn<color='#95d12b'>“Vàng-Thượng Phẩm-Hấp huyết”</color>
世界魔王、深渊魔王、蛮荒神兽、运营活动,"Boss Thế Giới, Boss Thâm Uyên, Thần Thú Hoang Dã, Hoạt Động Vận Hành"
灵婴,Linh Anh
第2关,Ải 2
概率获得3星12阶裤子,Xác suất nhận Khố 3 sao bậc 12
阿房宫赋-壹,A Phòng Cung Phú-1
挑战镇妖境10次,Khiêu chiến Trấn Yêu Cảnh 10 Lần
仙红3朱雀6件套,6 món Chu Tước Tiên Đỏ 3
天神选择,Chọn Thiên Thần
使用后将天神<color='#cfa94d'>乱世妖姬</color>主动技能<color='#cfa94d'>扫八荒</color>觉醒为<color='#ff5252'>真-扫八荒</color>,Thiên Thần <color='#cfa94d'>Loạn Thế Yêu Cơ</color> dùng sẽ khiến kỹ năng chủ động <color='#cfa94d'>Tảo Bát Hoang</color> thức tỉnh thành <color='#ff5252'>Chân-Tảo Bát Hoang</color>
天神变身持续时间增加<color='#95d12b'>10%</color>,Thời gian kéo dài biến thân Thiên Thần tăng <color='#95d12b'>10%</color>
<color=#ff6000>绑定仙玉</color>x50\n<color=#b759fa>强化石</color>x6\n<color=#b759fa>饰品强化石</color>x2,<color=#ff6000>Tiên Ngọc Khóa</color>x50\n<color=#b759fa>Đá Cường Hóa</color>x6\n<color=#b759fa>Đá Cường Hóa Trang Sức</color>x2
击败失心魔僧,Hạ Thất Tâm Ma Tăng
可在天神神器中用于<color='#95d12b'>激活神器</color>,Dùng <color='#95d12b'>kích hoạt Thần Khí</color> trong Thần Khí Tiên Thần
乾坤金龙鼎\n（未激活）,Càn Khôn Kim Long Đỉnh\n(chưa kích hoạt)
使用可激活图鉴<color='#95d12b'>“灵兽-火神灵鼠”</color>,"Dùng kích hoạt Đồ Giám <color='#95d12b'>""Linh Thú-Hỏa Thần Linh Thử""</color>"
射天后羿-碎片,Xạ Thiên Hậu Nghệ (mảnh)
[223]250级开启,[223]250 cấp mở
第435关,Ải 435
时装-手环44,Thời Trang-Vòng Tay 44
本体减伤：,Giảm thương cá nhân:
「香酥软滑，入口清甜」,"Hương thơm nức mũi, tan chảy trong miệng"
洗衣服是否全部都用洗衣机？,Toàn dùng máy giặt để giặt đồ?
可在继承中为魂环注入魂灵<color='#95d12b'>“幻-上品-召唤重生”</color>,Thông qua kế thừa nhập Hồn Linh <color='#95d12b'>“Huyễn-Thượng Phẩm-Triệu Hồi Trọng Sinh”</color> vào hồn hoàn
修真路、铭文寻宝、运营活动,"Tu Chân Lộ, Tầm Bảo Minh Văn, Hoạt Động Vận Hành"
法宝90,Pháp Bảo 90
（n）这位少侠留步，我这有幅修仙图，想请少侠看上一看。||（p）这图，好像另有玄机，混沌五行，图里乾坤，开。,"（n）Thiếu hiệp xin dừng bước, ta có một bức Tu Tiên Đồ, muốn ngươi xem thử.||（p）Bức tranh này, hình như còn ẩn chưa gì, hỗn độn ngũ hành, tranh có càn khôn, mở."
910四象找回绑玉,910 Tứ Tượng Tìm Lại Ngọc Khóa
飞机的机翼用来增加升力,Máy bay cánh dùng để gia tăng thăng lực
秘境关卡进度：<color='#007f18'>%s</color>,Tiến độ cửa ải mật cảnh : <color='#007f18'>%s</color>
破坏球,Phá Bóng
传语逍遥,Truyền tin Tiêu Dao
【Lua性能问题】代码质量差导致严重性能问题，马上修改！！(查看控制台日志),"【Lỗi tính năng Lua】Chất lượng code kém dẫn đến lỗi tính năng nghiêm trọng, cần sửa ngay"
时装-头像框98,Thời Trang-Khung Avatar 98
紫雪狐,Tử Tuyết Hồ
用盐水可以使黑色毛织物增黑,Dùng nước muối có thể làm màu đen lông hàng dệt tăng đen
使用可获得10万元宝,Dùng nhận 10 vạn KNB
恶魔吉他,Ác Ma Cát Tha
国家首领，正式开启,"Thủ Lĩnh Quốc Gia, Chính Thức Bắt Đầu"
成功发布悬赏，请静候佳音~,"Phát thưởng thành công, đợi tin tốt~"
使用可激活图鉴<color='#95d12b'>“安沛珊”</color>,Dùng kích hoạt đồ giám <color='#95d12b'>“An Phái San”</color>
血量:,HP: 
幽冥判官助战(<per>1/1</per>)次,U Minh Phán Quan trợ chiến (<per>1/1</per>) lần
海誓山盟活动中，以仙侣双方的<color=#95d12b>总应援值</color>进行排名，<color=#95d12b>赠送鲜花/表白道具</color>都可为目标提升应援值，<color=#ec0228>若在活动中离婚，则只保留自身应援值</color>。,"Trong hoạt động Thề Non Hẹn Biển, tiến hành xếp hạng <color=#95d12b>tổng Điểm Ứng Viện</color> của hai bên Tiên Lữ, <color=#95d12b>tặng hoa tươi/vật phẩm tỏ tình</color> đều có thể tăng Điểm Ứng Viện cho mục tiêu, <color=#ec0228>nếu ly hôn trong thời gian hoạt động sẽ chỉ giữ lại Điểm Ứng Viện của bản thân</color>."
据说在上古，神兵都有一套独特的驾驭法门，此秘法只可手掌相抵传功，不可像如今传功这般言传书教。,"Nghe nói thời thượng cổ, thần binh đều có một bộ Pháp môn điều khiển độc đáo, bí pháp này chỉ có thể dùng tay truyền công, chứ không giống với cách truyền công trong sách vở ngày nay dạy."
通关3层修真路,Vượt 3 tầng Tu Chân Lộ
困魔星阵·陆,Khốn Ma Tinh Trận·6
{r;%d;%s;%d}在{activity;%d;ff5a00}领走了超值大礼%s，充值{wordsColor;ff5a00;任意}金额即可领取哦{openLink;996;%d},"{r;%d;%s;%d} tại {activity;%d;ff5a00} nhận được quà siêu hời %s, nạp mức tiền {wordsColor;ff5a00;bất kỳ} có thể nhận {openLink;996;%d}"
增加积分,Tăng điểm
<color='#ebff7c'>蓝电霸王龙印记：</color>\n集齐3个印记，激活神龙庇佑技能,"<color='#ebff7c'>Ấn Ký Bá Vương Long: </color>\nTập hợp đủ 3 ấn ký, kích hoạt kỹ năng Thần Long Tí Phù Hộ"
"恭喜,您获得{title;%d}称号","Chúc mừng, bạn nhận danh hiệu {title;%d}"
前往世界Boss 击杀 190 级以上的Boss:,Đến Boss Thế Giới tiêu diệt Boss cấp 190 trở lên: 
第3章,Chương 3
大跨服刺探防守积分补发,Phát bù điểm phòng thủ do thám liên server
我命由我不由天，命若天定，我就破了这个天。,"Vận mệnh của ta do ta chọn, nếu trời muốn định, ta sẽ phá cả trời."
神兵幻化攻击时，祛除自身受到的领主庇佑效果，提升自身<color='#95d12b'>5%</color>伤害增伤，持续<color='#95d12b'>15</color>秒，冷却<color='#95d12b'>30</color>秒,"Khi ảo hóa thần binh, công kích sẽ xóa bỏ hiệu quả Lãnh Chúa Phù Hộ của bản thân, tăng <color='#95d12b'>5%</color> thương tổn trong <color='#95d12b'>15</color> giây, hồi <color='#95d12b'>30</color> giây"
（n）你想找我爷爷？看起来像个呆瓜，陪我玩个游戏，赢了我就告诉你。,"（n）Ngươi muốn tìm ông của ta? Trông giống một tên ngốc lắm, chơi cùng ta một trò, thắng thì ta nói cho."
北辰李,Bắc Thần Lý
侠客神兵,Thần binh hiệp khách
取消勾选将会取消魔王次数合并，消耗的扫荡卷将以邮件的形式返还，是否确定取消合并？,"Hủy bỏ câu tuyển tướng sẽ hủy bỏ Boss lần Số sát nhập, Tốn Càn quét quyển sẽ lấy bưu kiện hình thức trả về, phải chăng xác định hủy bỏ sát nhập?"
生命窃取百分比,% Hút HP
暗金圣装,Thánh Trang Ám Kim
将造成伤害的<color='#95d12b'>5%</color>转化为自己的生命值，持续<color='#95d12b'>5秒</color>,"Từ tạo thành sát thương<color='#95d12b'>5%</color>chuyển hóa thành HP của mình, liên tiếp<color='#95d12b'>5 giây</color>"
太上境,Thái Thượng Cảnh
{r;%d;%s;%d}获得了{i;%d}打怪经验增加{wordsColor;ff6000;50%%}，防御增加{wordsColor;ff6000;10}，升级、挂机必备！,"{r;%d;%s;%d} đã nhận {i;%d} EXP đánh quái tăng {wordsColor;ff6000;50%%}, thủ tăng {wordsColor;ff6000;10}, nâng cấp, Auto cần!"
"<color='#472D2DFF'>活动玩法：</color><color='#9B4C34FF'>收集足够的神兽贡品,在活动时间内可由盟主/副盟主手动开启挑战,参与人数越多,通关越快,奖励越好</color>","<color='#472D2DFF'> Quy tắc hoạt động: </color><color='#9B4C34FF'> Thu thập đầy đủ Thần thú cống phẩm,  trong thời gian diễn ra hoạt động  Minh chủ / Phó minh chủ có thể tự mở,  khiêu chiến, số người tham dự càng đông, thông quan càng nhanh,thưởng càng xịn </color>"
对周围3个敌人造成<color='#95d12b'>55%</color>伤害并使主目标减速<color='#95d12b'>40%</color>，持续<color='#95d12b'>2</color>秒<color='#3be0f9'>同时自身一层柔骨印记，持续3秒，期间若添加新的印记，可叠加层数并重置持续时间</color>,"Tạo cho 3 địch xung quanh <color='#95d12b'>55%</color> sát thương và khiến mục tiêu chính giảm tốc <color='#95d12b'>40%</color>, trong <color='#95d12b'>2</color>s<color='#3be0f9'>, đồng thời bản thân 1 tầng Ấn Ký Nhu Cốt, duy trì 3s, trong thời gian đó nếu thêm Ấn Ký mới, sẽ cộng dồn số tầng và làm mới thời gian</color>"
上古神明遗落的稀世石头，千金难求,"Hòn đá hiếm có từ Thượng Cổ Thần Minh , ngàn vàng khó được"
%s月%s日,Tháng %s ngày %s
武魂,Võ Hồn
使用可激活图鉴<color='#95d12b'>“凤舞九天-贰”</color>,Dùng kích hoạt đồ giám <color='#95d12b'>“Phượng Vũ Cửu Thiên-2”</color>
已达到该物件摆放上限,Đạt giới hạn đặt đồ vật
每次完成悬赏获得<color='#95D12B'>40</color>点防御\n当前累计增加<color='#95D12B'>防御：<fangyu></color>\n<color='#3be0f9'>SS级任务完成第4档及之后档次每次能增加3倍属性</color>,Mỗi lần hoàn thành Treo Thưởng nhận <color='#95D12B'>40</color> thủ\nTích lũy hiện tại tăng <color='#95D12B'>Thủ: <fangyu></color>\n<color='#3be0f9'>Hoàn thành nhiệm vụ SS mốc 4 trở lên mỗi lần có thể tăng x3 thuộc tính</color>
